YEAR,MONTH_NUM,MONTH_MON,APT_ICAO,APT_NAME,STATE_NAME,NBR_FLIGHTS_DESCENT,TOT_DIST_LEVEL_NM_DESCENT,TOT_DIST_LVL_NM_DESC_BLW_70,TOT_TIME_LEVEL_SECONDS_DESCENT,TOT_TIME_LEVEL_SEC_DESC_BLW_70,MEDIAN_CDO_ALT,NBR_CDO_FLIGHTS,NBR_CDO_FLIGHTS_BELOW_7000,TOT_DELTA_CO2_KG_DESCENT,TOT_DELTA_CO2_KG_DESC_BLW_70,NBR_FLIGHTS_CLIMB,TOT_DIST_LEVEL_NM_CLIMB,TOT_DIST_LVL_NM_CLIMB_BLW_100,TOT_TIME_LEVEL_SECONDS_CLIMB,TOT_TIME_LVL_SEC_CLIMB_BLW_100,MEDIAN_CCO_ALT,NBR_CCO_FLIGHTS,NBR_CCO_FLIGHTS_BELOW_10000,TOT_DELTA_CO2_KG_CLIMB,TOT_DELTA_CO2_KG_CLIMB_BLW_100,AIRPORT_NAME
2025,1,JAN,EDDM,Munich,Germany,11155,203664.52336798672,66902.1854296146,2450320,1188560,4933.333333333333,628,1760,1564001.892535,998300.3696183,11241,49556.136359864206,649.767397095694,420400,8260,33000,7565,11030,125284.8496876,3788.178233,Munich (EDDM)
2025,1,JAN,EDDN,Nurenberg,Germany,1237,21481.1167753453,3553.853013605153,248880,77040,6000,147,591,90643.1770671,28433.5861925,1252,7305.0300015458615,137.625754923731,65795,3435,32000,839,1235,11738.4298117,126.445885,Nurenberg (EDDN)
2025,1,JAN,EDDP,Leipzig/Halle,Germany,2736,40510.7554415143,12660.4114762389,548260,240580,3500.334821428571,328,768,581470.5086676999,324276.17574049986,2766,5077.925966220198,310.889765295343,48260,7580,33000,2367,2738,14040.630667000001,1183.490127,Leipzig/Halle (EDDP)
2025,1,JAN,EDDR,Saarbrucken,Germany,94,2146.089124729428,723.7191766459481,37000,18220,4092.930327868852,14,33,5438.956567199999,1321.916705199999,108,685.1586265146229,363.97895773343504,11120,8020,17000,71,89,390.9312765,143.63575550000002,Saarbrucken (EDDR)
2025,1,JAN,EDDS,Stuttgart,Germany,2597,57778.1245806868,7122.429821996141,614453,139173,4900,268,996,285714.12961835,70575.890409,2631,11618.9230263915,493.41601110607104,108946,15193,33000,1916,2598,19408.9365605,475.562093,Stuttgart (EDDS)
2025,1,JAN,EDDV,Hanover,Germany,1499,11427.8280970962,5457.751999991518,173700,113860,3128.196721311475,309,462,78496.5562355,54458.565421,1524,3386.4223118099853,140.031268839749,31232,3512,33000,1252,1509,4536.8068528,152.85006779999998,Hanover (EDDV)
2025,1,JAN,EDDW,Bremen,Germany,764,7728.516246150194,3943.415046320737,121873,85313,3040,128,179,44363.770487300004,28654.968623799996,752,2062.374793973919,562.7887623899381,27500,14860,32000,605,722,2426.557396499999,447.0309250000001,Bremen (EDDW)
2025,1,JAN,EDFE,Frankfurt Egelsbach,Germany,74,1304.251749328542,1050.389452426245,28405,25365,3361.079234972678,15,18,203.23189200000002,77.81281349999998,46,202.44240431467801,194.52508078905,4444,4344,16000,41,42,-7.513442499999999,-7.11281,Frankfurt Egelsbach (EDFE)
2025,1,JAN,EDFH,Frankfurt Hahn,Germany,604,13585.216938794201,2060.561610486855,154360,40760,8064.441653446148,100,307,135025.1021959999,47823.471484,605,3652.188597044168,229.080705191634,34100,4460,34988.23529411761,366,582,12073.3880285,1452.5599545,Frankfurt Hahn (EDFH)
2025,1,JAN,EDFM,Mannheim,Germany,181,4091.474595241249,1914.704500334467,82300,51960,4976.719576719576,25,37,2126.4262881,997.5582890500001,174,2252.059638277985,1784.173733901179,44188,37008,11053.8127413127,111,124,104.2006445,43.878634999999946,Mannheim (EDFM)
